KD	all pos events	all neg events	comp	total
SF3B1	2345	2404	HepG2	4749
U2AF2	5801	6830	HepG2	12631
U2AF1	3792	4139	HepG2	7931
SNRNP70	2460	2278	HepG2	4738
SRFBP1	2949	3532	HepG2	6481
SF3A3	2698	2918	HepG2	5616
SRSF3	2113	2041	HepG2	4154
BOP1	1953	1790	HepG2	3743
HNRNPLL	1719	1552	HepG2	3271
GPKOW	1716	1547	HepG2	3263
PUF60	3400	3681	HepG2	7081
CPSF6	1553	1497	HepG2	3050
TARDBP	1199	1042	HepG2	2241
SF1	3774	2782	HepG2	6556
SRSF1	4230	4245	HepG2	8475
SF3B4	1952	1801	HepG2	3753
RBM22	2090	2273	HepG2	4363
RAVER1	1877	1848	HepG2	3725
ETF1	2000	1850	HepG2	3850
UTP3	1520	1380	HepG2	2900
HNRNPC	2034	1880	HepG2	3914
ZNF622	1385	1264	HepG2	2649
PCBP1	1891	1890	HepG2	3781
MATR3	2812	2465	HepG2	5277
EIF4A3	2432	2173	HepG2	4605
TBRG4	1728	1531	HepG2	3259
NCBP2	2232	2034	HepG2	4266
EWSR1	1192	1217	HepG2	2409
MAGOH	3023	2571	HepG2	5594
LARP4	1633	1410	HepG2	3043
FIP1L1	1783	1575	HepG2	3358
RBM25	1500	1561	HepG2	3061
TIAL1	1691	1624	HepG2	3315
SSB	1518	1560	HepG2	3078
CKAP4	1308	1238	HepG2	2546
RBM15	1239	1019	HepG2	2258
SNRNP200	1668	1330	HepG2	2998
ABCF1	1124	990	HepG2	2114
EIF2S1	1515	1384	HepG2	2899
PUM2	1598	1529	HepG2	3127
PTBP1	2075	1895	HepG2	3970
KRR1	1165	942	HepG2	2107
DDX5	934	719	HepG2	1653
CPSF7	871	737	HepG2	1608
SLBP	1037	1047	HepG2	2084
SUGP2	907	774	HepG2	1681
EIF4B	1803	1470	HepG2	3273
PUM1	1530	1463	HepG2	2993
QKI	1579	1376	HepG2	2955
DDX3X	1568	1499	HepG2	3067
RPS19	1545	1389	HepG2	2934
SRSF5	1567	1373	HepG2	2940
DDX47	778	710	HepG2	1488
NUFIP2	1302	949	HepG2	2251
HNRNPM	977	902	HepG2	1879
SRSF9	1541	1344	HepG2	2885
MSI2	986	873	HepG2	1859
SUPV3L1	1326	1159	HepG2	2485
PPIL4	1966	1809	HepG2	3775
AKAP1	2105	2061	HepG2	4166
RBM39	1055	915	HepG2	1970
RPS3A	1534	1369	HepG2	2903
ATP5C1	773	654	HepG2	1427
NELFE	1640	1449	HepG2	3089
DKC1	860	792	HepG2	1652
PPIG	768	632	HepG2	1400
DDX6	1505	1437	HepG2	2942
TUFM	1296	1216	HepG2	2512
AUH	922	958	HepG2	1880
ESF1	741	622	HepG2	1363
SUCLG1	1356	1256	HepG2	2612
PABPC4	1243	1038	HepG2	2281
PUS1	1146	957	HepG2	2103
TAF15	1387	1194	HepG2	2581
TRIM56	1027	913	HepG2	1940
EIF2S2	789	661	HepG2	1450
SSRP1	846	683	HepG2	1529
PCBP2	791	809	HepG2	1600
ACO1	1089	1001	HepG2	2090
BUD13	592	514	HepG2	1106
UTP18	664	588	HepG2	1252
PRPF4	619	637	HepG2	1256
STAU1	596	525	HepG2	1121
IGF2BP3	1427	1225	HepG2	2652
NAA15	599	552	HepG2	1151
DDX19B	611	584	HepG2	1195
SAFB2	836	737	HepG2	1573
EIF4G2	766	710	HepG2	1476
SERBP1	975	859	HepG2	1834
NOL12	940	880	HepG2	1820
CALR	471	464	HepG2	935
PABPC1	1020	865	HepG2	1885
KHSRP	1121	896	HepG2	2017
CELF1	1025	978	HepG2	2003
G3BP2	1168	949	HepG2	2117
DDX55	1056	884	HepG2	1940
HNRNPUL1	849	680	HepG2	1529
DDX21	801	745	HepG2	1546
HNRNPU	829	775	HepG2	1604
DAZAP1	677	659	HepG2	1336
HNRNPA1	810	744	HepG2	1554
NONO	1013	862	HepG2	1875
EEF2	1044	921	HepG2	1965
RRP9	707	711	HepG2	1418
FXR1	1272	1043	HepG2	2315
KIF1C	588	485	HepG2	1073
RBM27	748	636	HepG2	1384
CIRBP	800	796	HepG2	1596
RPS2	661	678	HepG2	1339
SMNDC1	621	510	HepG2	1131
TIA1	786	659	HepG2	1445
RPS10	518	489	HepG2	1007
DNAJC21	631	531	HepG2	1162
PES1	523	410	HepG2	933
EIF4G1	589	585	HepG2	1174
ZRANB2	529	481	HepG2	1010
SMN1	662	571	HepG2	1233
BCCIP	664	574	HepG2	1238
HLTF	568	500	HepG2	1068
DDX1	527	409	HepG2	936
PRPF6	529	454	HepG2	983
EIF3D	744	631	HepG2	1375
GEMIN5	665	606	HepG2	1271
DDX24	466	418	HepG2	884
ILF3	629	498	HepG2	1127
XPO5	608	495	HepG2	1103
FMR1	498	468	HepG2	966
SLTM	439	403	HepG2	842
PRPF8	493	545	HepG2	1038
METAP2	709	579	HepG2	1288
SART3	576	490	HepG2	1066
EXOSC9	452	359	HepG2	811
GRSF1	460	388	HepG2	848
RPS5	544	453	HepG2	997
ADAR	388	296	HepG2	684
YBX3	388	315	HepG2	703
DHX30	429	356	HepG2	785
EFTUD2	502	457	HepG2	959
KHDRBS1	607	482	HepG2	1089
TRA2A	422	360	HepG2	782
DDX27	431	350	HepG2	781
GNB2L1	496	460	HepG2	956
HNRNPA2B1	437	420	HepG2	857
AGO1	444	375	HepG2	819
NIP7	330	287	HepG2	617
LIN28B	428	361	HepG2	789
PKM	491	423	HepG2	914
RBM34	304	285	HepG2	589
APOBEC3C	440	388	HepG2	828
DDX52	414	360	HepG2	774
FAM120A	382	344	HepG2	726
EIF3G	373	316	HepG2	689
STIP1	465	373	HepG2	838
FASTKD2	369	291	HepG2	660
SND1	384	327	HepG2	711
PNPT1	433	348	HepG2	781
PSIP1	381	314	HepG2	695
HNRNPD	430	309	HepG2	739
HNRNPAB	354	280	HepG2	634
LSM11	294	272	HepG2	566
RPL23A	309	257	HepG2	566
