Patient	Gene	ENSG.ID	logFC	logCPM	F	PValue	FDR
P1	ALX4	ENSG00000052850.8	-4.686381371	4.209775923	2364.31112	2.05E-24	4.49E-20
P1	EMB	ENSG00000170571.12	-4.796575906	4.068669505	1754.143738	5.82E-23	6.36E-19
P1	MKX	ENSG00000150051.14	-3.722411281	7.227470506	1635.693649	1.27E-22	9.27E-19
P1	SAMD5	ENSG00000203727.4	-5.308323625	3.694156929	1493.038441	3.53E-22	1.93E-18
P1	IL1RAPL1	ENSG00000169306.10	-5.795793239	5.446289819	1114.795862	9.13E-21	3.99E-17
P1	MKX-AS1	ENSG00000230500.1	-6.301108745	1.996226549	1095.122721	1.11E-20	4.05E-17
P1	AC098850.3	ENSG00000266302.6	5.19417998	3.008972938	995.313794	3.21E-20	6.77E-17
P1	RASGRF2	ENSG00000113319.13	-4.380333507	2.389252754	1039.036454	1.99E-20	5.25E-17
P1	COL18A1	ENSG00000182871.16	-3.063176492	5.848877885	1031.549011	2.16E-20	5.25E-17
P1	MLIP	ENSG00000146147.15	4.605572357	1.7478272	237.37571	1.71E-13	1.86E-11
P1	GRP	ENSG00000134443.10	-9.048493548	2.791216658	990.0325578	3.41E-20	6.77E-17
P1	HECW1	ENSG00000002746.15	-2.456227607	5.565062577	975.6818086	4.00E-20	7.29E-17
P1	ABLIM1	ENSG00000099204.21	-2.753805697	4.516486696	921.6149277	7.53E-20	1.27E-16
P1	ARMC4	ENSG00000169126.16	-3.252438164	3.776825046	913.2722032	8.32E-20	1.30E-16
P1	MEOX2	ENSG00000106511.6	-6.104710991	3.515585381	897.4185592	1.01E-19	1.47E-16
P1	ACKR3	ENSG00000144476.6	4.569448015	5.156155639	632.4713629	4.75E-18	4.00E-15
P1	C5orf17	ENSG00000248874.5	4.443686993	3.00869223	829.0869721	2.42E-19	3.31E-16
P1	AC011287.1	ENSG00000229618.3	-4.844846229	4.544586406	758.9349647	6.42E-19	7.80E-16
P1	AC069277.1	ENSG00000189229.12	4.442133012	1.672976847	190.5112941	1.64E-12	1.29E-10
P1	SYTL2	ENSG00000137501.18	-2.167115275	6.144351697	734.8781878	9.16E-19	1.00E-15
P1	AC007319.1	ENSG00000224063.6	-3.888037711	5.4677002	713.3012934	1.27E-18	1.32E-15
P1	PLEKHG4B	ENSG00000153404.15	-3.203823455	3.665690578	707.6499524	1.39E-18	1.38E-15
P1	ECHDC3	ENSG00000134463.15	-2.969485242	1.673881781	696.0368933	1.66E-18	1.58E-15
P1	AL031599.1	ENSG00000224228.2	-4.171711377	3.659381936	686.2050138	1.94E-18	1.77E-15
P1	LINC00839	ENSG00000185904.12	-2.577317412	2.260619489	633.31707	4.68E-18	4.00E-15
P1	AC016708.1	ENSG00000229267.3	4.438796455	2.420541567	594.2106296	9.41E-18	7.15E-15
P1	CYP1B1-AS1	ENSG00000232973.14	-2.775423827	3.369334279	602.1354141	8.14E-18	6.59E-15
P1	ANKRD1	ENSG00000148677.7	4.382275184	2.738816413	426.3833697	3.45E-16	1.01E-13
P1	PTN	ENSG00000105894.12	-3.167456095	3.426497745	593.7832654	9.48E-18	7.15E-15
P1	LINC01291	ENSG00000204792.2	4.320373612	2.567652811	443.5595897	2.26E-16	7.29E-14
P1	ADGRD1	ENSG00000111452.13	4.195312341	5.659422279	534.7869718	2.97E-17	1.38E-14
P1	HOXC10	ENSG00000180818.5	-5.55599689	1.332547721	578.690385	1.26E-17	8.58E-15
P1	U52111.1	ENSG00000232725.1	-4.158416824	1.623214467	573.851986	1.38E-17	8.97E-15
P1	DUXAP9	ENSG00000225210.10	-7.364072427	2.490720856	572.7782543	1.41E-17	8.97E-15
P1	KRT19	ENSG00000171345.13	-2.748052325	3.541080985	570.8684141	1.46E-17	8.97E-15
P1	KIAA1211	ENSG00000109265.15	-3.330682762	2.751822455	570.1521627	1.48E-17	8.97E-15
P1	NPIPA5	ENSG00000183793.14	-3.430230308	1.504216587	563.6989091	1.67E-17	9.80E-15
P1	HOTAIR	ENSG00000228630.5	-11.12928864	2.377401569	713.4654846	1.70E-17	9.80E-15
P1	AC097487.1	ENSG00000249675.1	-5.820438207	1.132863738	557.4741742	1.89E-17	1.05E-14
P1	PITX1	ENSG00000069011.16	-4.389584808	2.497346799	556.7379634	1.92E-17	1.05E-14
P1	ACAN	ENSG00000157766.19	-5.230816858	5.82682236	544.7915433	2.43E-17	1.29E-14
P1	FP565260.1	ENSG00000275464.5	3.888475162	1.791079124	335.3308184	4.53E-15	7.67E-13
P1		ENSG00000288016.2	-5.457063349	1.77308627	537.8292033	2.79E-17	1.36E-14
P1	AC092691.1	ENSG00000239268.4	3.881431226	5.623956333	292.4821649	1.93E-14	2.73E-12
P1	GAP43	ENSG00000172020.13	-3.914009854	2.332269285	536.8018408	2.85E-17	1.36E-14
P1	BRINP1	ENSG00000078725.13	3.856151659	3.756074988	455.6218554	1.69E-16	5.86E-14
P1	TBX5	ENSG00000089225.20	3.596937978	3.7799702	785.443142	4.40E-19	5.66E-16
P1	EFEMP1	ENSG00000115380.20	3.577151483	6.715550065	306.8767454	1.16E-14	1.76E-12
P1	CRLF1	ENSG00000006016.12	-3.205409929	4.834906802	523.3220218	3.76E-17	1.68E-14
P1	SFRP2	ENSG00000145423.5	3.552533124	7.460597958	66.13885598	3.62E-08	7.80E-07
