Genes	Samples	Mutations	Papers
ABL1	38280	777	840
ACVR1	13805	123	152
ACVR1B	2970	38	133
ACVR2A	4012	292	208
AKT1	61515	1452	1167
ALK	39210	1480	911
AMER1	20040	652	286
APC	52767	8189	1667
AR	22339	923	449
ARHGAP26	4018	45	131
ARID1A	34522	3208	906
ARID1B	20149	825	358
ARID2	22047	1000	464
ASXL1	40173	3040	841
ATM	40943	2628	1022
ATP1A1	1477	49	135
ATP2B3	2063	60	180
ATR	23653	1274	409
ATRX	28953	1422	613
AXIN1	19000	539	367
AXIN2	17964	496	246
B2M	17656	482	218
BAP1	24453	1078	536
BARD1	17413	360	196
BCL9L	437	52	146
BCOR	29463	843	466
BCORL1	10658	328	289
BIRC3	19319	232	213
BLM	19056	437	247
BRAF	287250	55227	5855
BRCA1	28490	836	596
BRCA2	29246	1497	685
BTK	18762	234	262
CACNA1D	1919	106	226
CALR	39551	4789	478
CARD11	22675	972	408
CASP8	21336	359	264
CBL	36770	907	677
CBLB	7036	95	208
CBLC	4510	29	131
CD79A	17213	115	194
CD79B	21512	353	265
CDC73	18418	240	314
CDH1	34084	1583	696
CDK12	19985	499	317
CDKN1B	25574	344	268
CDKN2A	68176	2281	1914
CDKN2C	21264	184	257
CEBPA	39103	1501	707
CHD4	4631	76	236
CHEK2	24584	411	277
CIC	18630	672	372
CNOT3	1029	28	135
COL2A1	720	38	161
CREBBP	30411	1455	578
CRLF2	17279	145	155
CSF1R	28189	391	427
CSF3R	24970	404	325
CTCF	21457	484	260
CTNNA1	5621	165	169
CTNNB1	75481	7461	2101
CUX1	10740	151	248
CXCR4	17179	464	188
CYLD	7728	199	259
DAXX	19730	300	296
DDB2	3514	75	121
DDR2	24269	462	373
DDX3X	3873	120	206
DGCR8	848	55	118
DICER1	23217	753	394
DNM2	1479	83	136
DNMT3A	47508	3992	881
DROSHA	2028	140	163
EGFR	163327	29328	4770
ELF3	1671	41	128
EP300	29722	1157	522
EPAS1	2125	138	187
ERBB2	63972	1863	1316
ERBB3	30345	1076	474
ERBB4	31928	1244	695
ERCC2	17523	409	237
ERCC3	16286	199	157
ERCC5	16540	413	190
ESR1	25901	937	396
ETNK1	2439	21	95
EZH2	41641	1394	832
FAS	5748	201	177
FAT1	18938	1261	398
FAT4	3029	216	314
FBXO11	3431	29	235
FBXW7	50157	2006	1033
FEN1	836	2	52
FES	2333	40	156
FGFR1	38779	371	775
FGFR2	42275	679	822
FGFR3	54124	3228	1031
FGFR4	25067	369	354
FLT3	117855	17521	2142
FLT4	19558	566	342
FOXA1	17123	449	200
FOXL2	23889	999	311
FUBP1	16080	248	237
GATA1	24421	509	388
GATA2	28142	418	338
GATA3	24359	942	375
GNA11	27496	681	586
GNAQ	33755	1040	728
GNAS	49997	1915	1016
GRIN2A	16452	687	319
H3F3A	23547	1235	360
H3F3B	16903	130	122
HIF1A	3904	54	177
HIST1H3B	210	188	124
HNF1A	24354	570	487
HRAS	69725	2110	1833
IDH1	101324	10817	2244
IDH2	82949	2734	1712
IKBKB	3901	77	160
IKZF1	25345	1023	425
IL6ST	2363	153	175
IL7R	22073	385	285
IRS4	564	15	145
JAK1	30340	703	518
JAK2	164868	52225	2633
JAK3	36544	750	687
KCNJ5	3744	1117	192
KDM5C	19236	526	307
KDM6A	30386	1060	544
KDR	27444	810	640
KEAP1	19481	713	284
KIT	77686	9360	2805
KLF4	15782	285	150
KMT2A	32258	1143	646
KMT2C	27435	1982	602
KMT2D	28826	2665	670
KRAS	237885	43452	7871
LATS1	13863	214	145
LATS2	14335	247	176
LEF1	3686	54	126
LRP1B	6929	928	455
LZTR1	2130	172	192
MAP2K1	33564	622	597
MAP2K2	21213	249	327
MAP2K4	25928	362	358
MAP3K1	21566	993	315
MAP3K13	15884	192	189
MAPK1	19248	115	226
MAX	137	136	80
MED12	30963	3848	487
MEN1	22269	640	436
MET	62478	1713	1172
MLH1	31268	701	656
MPL	64305	1436	976
MSH2	25309	649	444
MSH6	27189	1005	534
MTOR	26133	1025	511
MUC6	328	43	176
MYC	25920	598	354
MYCN	19971	271	241
MYD88	33114	2594	481
MYOD1	13274	121	100
NCOA2	2661	53	187
NCOR1	17921	654	322
NCOR2	3872	132	229
NF1	39016	2562	977
NF2	28660	1747	510
NFE2L2	22031	443	379
NFKBIE	3619	161	151
NOTCH1	51028	4203	1147
NOTCH2	27494	1318	522
NPM1	55599	6985	1374
NRAS	119300	7060	3430
NT5C2	4253	191	120
NTRK3	22243	500	378
PAX5	22072	448	352
PBRM1	21711	1164	445
PDGFRA	58024	2361	1501
PHF6	13681	410	238
PHOX2B	16568	104	184
PIK3CA	117869	14925	3240
PIK3CB	17702	274	255
PIK3R1	34053	840	637
PLCG1	5212	284	200
POLD1	15784	244	233
POLE	25319	1037	422
POLG	815	31	123
POLQ	2124	110	196
POT1	4832	123	208
PPM1D	18036	273	149
PPP2R1A	21299	443	297
PPP6C	13104	87	122
PRDM1	19103	401	291
PREX2	3058	374	285
PRKACA	3173	176	143
PRKAR1A	19852	307	285
PRKD1	2206	95	168
PTCH1	25488	1092	542
PTEN	73496	4913	2261
PTK6	927	9	104
PTPN11	48696	1019	820
PTPN13	1910	179	185
PTPRB	1693	34	193
PTPRT	16692	716	313
QKI	2731	51	129
RAC1	18287	143	205
RAD21	24055	292	234
RB1	42872	1800	1099
RBM10	15542	462	217
RECQL4	16110	588	208
RET	42611	1971	999
RHOA	22800	653	252
RNF43	20497	950	334
RPL10	1784	25	98
RPL5	1823	25	102
RUNX1	40909	1820	801
SALL4	226	1	123
SDHA	16358	164	217
SETBP1	17885	652	385
SETD2	24363	1092	553
SETDB1	1944	58	141
SF3B1	43191	2397	729
SH2B3	22606	241	247
SIX1	814	49	55
SIX2	807	23	62
SMAD2	21633	321	279
SMAD3	17474	233	221
SMAD4	37561	1829	921
SMARCA4	24020	1517	556
SMARCB1	29713	610	656
SMARCD1	15630	85	140
SMO	29210	651	578
SOCS1	21522	383	218
SPEN	17948	657	319
SPOP	19075	375	258
SRC	24149	277	389
SRSF2	32444	1518	430
STAG2	28987	877	402
STAT3	24900	645	325
STAT5B	17083	236	192
STK11	37490	1130	836
SUFU	19828	250	276
TBL1XR1	3970	200	164
TBX3	19385	507	221
TENT5C	16900	149	164
TERT	63044	699	813
TET2	42011	4076	1006
TGFBR2	23655	681	400
TNFAIP3	23380	695	330
TNFRSF14	18200	372	188
TP53	139226	39206	4343
TP63	15711	304	230
TRAF7	15751	499	201
TRRAP	3846	239	262
TSC1	23936	965	531
TSC2	23973	1285	576
TSHR	18738	580	321
U2AF1	34891	986	431
UBR5	2748	180	229
USP8	1696	202	144
VHL	36880	2932	849
