"gene.y"	"Sample"	"chr"	"start"	"end"	"n"	"clusterID"	"N"	"coord"	"gene.x"	"annotation"	"FDR"	"ensemblID"	"verdict"	"deltapsi"	"transcripts"	"bam_slice"	"event"	"SS_Coords"	"ENSG.ID"	"median.cpm"	"sd"	"sum"
"1"	"ABCC5"	"K562_K700E"	"chr3"	183985378	183987770	2	"clu_4032_-"	2	"chr3:183983007-183987770"	"<i>ABCC5</i>"	"annotated"	0.0103	"ENSG00000124588.22"	"annotated"	0.546	"ENST00000382494.6"	"chr3:183984378-183988770"	"chr3:183985378-183987770"	"chr3:183987270-183988270"	"ENSG00000114770.17"	70.95846403	0.638516787	3
"2"	"ABCC5"	"MDS_K700E"	"chr3"	183985378	183987770	2	"clu_18041_-"	6	"chr3:183983007-183987770"	"<i>ABCC5</i>"	"cryptic"	2.14e-05	"ENSG00000166685.11"	"annotated"	0.11	"ENST00000382494.6"	"chr3:183984378-183988770"	"chr3:183985378-183987770"	"chr3:183987270-183988270"	"ENSG00000114770.17"	102.1034266	29.21063004	3
"3"	"ACD"	"MDS_K700E"	"chr16"	67658832	67658928	2	"clu_26917_-"	2	"chr16:67658816-67658928"	"<i>ACD</i>"	"annotated"	0.00527	"ENSG00000075426.11"	"annotated"	0.214	"ENST00000602945.5"	"chr16:67657832-67659928"	"chr16:67658832-67658928"	"chr16:67658428-67659428"	"ENSG00000102977.17"	11.81096483	3.187983062	0
"4"	"ACD"	"Nalm_K700E"	"chr16"	67658832	67658928	2	"clu_5463_-"	2	"chr16:67658816-67658928"	"<i>ACD</i>"	"annotated"	0.0164	"ENSG00000146067.16"	"annotated"	0.12	"ENST00000602945.5"	"chr16:67657832-67659928"	"chr16:67658832-67658928"	"chr16:67658428-67659428"	"ENSG00000102977.17"	30.62789938	1.708850813	0
"5"	"ACIN1"	"K562_K700E"	"chr14"	23090101	23090522	2	"clu_1657_-"	3	"chr14:23081836-23090522"	"<i>ACIN1</i>"	"annotated"	0.000318	"ENSG00000175449.14"	"annotated"	0.161	"ENST00000262710.5+ENST00000555053.5+ENST00000605057.6"	"chr14:23089101-23091522"	"chr14:23090101-23090522"	"chr14:23090022-23091022"	"ENSG00000100813.15"	212.1191628	5.962018277	10
"6"	"ACIN1"	"K562_K700E"	"chr14"	23081836	23089982	2	"clu_1657_-"	3	"chr14:23081836-23090522"	"<i>ACIN1</i>"	"annotated"	0.000318	"ENSG00000116754.14"	"annotated"	0.229	"ENST00000262710.5+ENST00000555053.5+ENST00000605057.6"	"chr14:23080836-23090982"	"chr14:23081836-23089982"	"chr14:23089482-23090482"	"ENSG00000100813.15"	212.1191628	5.962018277	10
"7"	"ACIN1"	"Nalm_K700E"	"chr14"	23090101	23090522	2	"clu_4087_-"	3	"chr14:23081836-23090522"	"<i>ACIN1</i>"	"annotated"	0.0029	"ENSG00000100813.15"	"annotated"	0.064	"ENST00000262710.5+ENST00000555053.5+ENST00000605057.6"	"chr14:23089101-23091522"	"chr14:23090101-23090522"	"chr14:23090022-23091022"	"ENSG00000100813.15"	368.0343746	5.41257646	10
"8"	"ACIN1"	"Nalm_K700E"	"chr14"	23081836	23089982	2	"clu_4087_-"	3	"chr14:23081836-23090522"	"<i>ACIN1</i>"	"annotated"	0.0029	"ENSG00000100813.15"	"annotated"	0.073	"ENST00000262710.5+ENST00000555053.5+ENST00000605057.6"	"chr14:23080836-23090982"	"chr14:23081836-23089982"	"chr14:23089482-23090482"	"ENSG00000100813.15"	368.0343746	5.41257646	10
"9"	"ADARB1"	"MDS_K700E"	"chr21"	45204736	45207297	2	"clu_29104_+"	3	"chr21:45204736-45220836"	"<i>ADARB1</i>"	"cryptic"	0.00922	"ENSG00000188976.10"	"cryptic_threeprime"	0.129	"."	"chr21:45203736-45208297"	"chr21:45204736-45207297"	"chr21:45206797-45207797"	"ENSG00000197381.17"	81.88538454	26.7772521	0
"10"	"ADARB1"	"Nalm_K700E"	"chr21"	45204736	45207297	2	"clu_9022_+"	3	"chr21:45204736-45220836"	"<i>ADARB1</i>"	"cryptic"	0.0336	"ENSG00000156171.15"	"cryptic_threeprime"	0.061	"."	"chr21:45203736-45208297"	"chr21:45204736-45207297"	"chr21:45206797-45207797"	"ENSG00000197381.17"	153.6963936	4.397673872	0
"11"	"AKAP8L"	"BRCA_K700E"	"chr19"	15380633	15397150	2	"clu_8823_-"	2	"chr19:15380612-15397150"	"<i>AKAP8L</i>"	"cryptic"	0.0204	"ENSG00000011243.19"	"cryptic_threeprime"	0.091	"."	"chr19:15379633-15398150"	"chr19:15380633-15397150"	"chr19:15396650-15397650"	"ENSG00000011243.19"	26.60895203	3.207714756	0
"12"	"AKAP8L"	"MDS_K700E"	"chr19"	15380633	15397150	2	"clu_24446_-"	3	"chr19:15380612-15397150"	"<i>AKAP8L</i>"	"cryptic"	0.0167	"ENSG00000107816.17"	"cryptic_threeprime"	0.057	"."	"chr19:15379633-15398150"	"chr19:15380633-15397150"	"chr19:15396650-15397650"	"ENSG00000011243.19"	72.83120833	28.60163398	0
"13"	"ANKHD1"	"K562_K700E"	"chr5"	140436257	140438494	3	"clu_4616_+"	3	"chr5:140436257-140438503"	"<i>ANKHD1</i>"	"annotated"	0.00396	"ENSG00000108064.11"	"annotated"	0.29	"ENST00000394722.7"	"chr5:140435257-140439494"	"chr5:140436257-140438494"	"chr5:140437994-140438994"	"ENSG00000131503.21"	0.011520746	0.016292795	0
"14"	"ANKLE2"	"K562_K700E"	"chr12"	132741485	132741809	2	"clu_1422_-"	2	"chr12:132741485-132743154"	"<i>ANKLE2</i>"	"annotated"	0.0136	"ENSG00000164506.15"	"annotated"	0.298	"ENST00000535036.5"	"chr12:132740485-132742809"	"chr12:132741485-132741809"	"chr12:132741309-132742309"	"ENSG00000176915.15"	88.66568145	0.328714804	14
"15"	"ANKLE2"	"Nalm_K700E"	"chr12"	132741485	132741809	2	"clu_3156_-"	3	"chr12:132741485-132743154"	"<i>ANKLE2</i>"	"annotated"	0.00751	"ENSG00000122435.11"	"annotated"	0.073	"ENST00000535036.5"	"chr12:132740485-132742809"	"chr12:132741485-132741809"	"chr12:132741309-132742309"	"ENSG00000176915.15"	193.1813008	2.485356814	14
"16"	"ANKRD11"	"K562_K700E"	"chr16"	89291183	89291681	3	"clu_2107_-"	3	"chr16:89291183-89305206"	"<i>ANKRD11</i>"	"annotated"	0.0113	"ENSG00000112651.12"	"annotated"	0.222	"ENST00000330736.10+ENST00000378332.7+ENST00000562275.6+ENST00000643964.1+ENST00000645278.1"	"chr16:89290183-89292681"	"chr16:89291183-89291681"	"chr16:89291181-89292181"	"ENSG00000167522.17"	177.9017828	12.38029786	50
"17"	"ANKRD11"	"MDS_K700E"	"chr16"	89291183	89291681	3	"clu_27103_-"	7	"chr16:89288670-89305206"	"<i>ANKRD11</i>"	"cryptic"	0.0162	"ENSG00000128335.13"	"annotated"	0.09	"ENST00000330736.9+ENST00000378332.6+ENST00000562275.5"	"chr16:89290183-89292681"	"chr16:89291183-89291681"	"chr16:89291181-89292181"	"ENSG00000167522.17"	189.5502663	152.8499638	50
"18"	"ANKRD11"	"Nalm_K700E"	"chr16"	89291183	89291681	3	"clu_5548_-"	5	"chr16:89291183-89305206"	"<i>ANKRD11</i>"	"annotated"	5.8e-05	"ENSG00000167522.17"	"annotated"	0.111	"ENST00000330736.10+ENST00000378332.7+ENST00000562275.6+ENST00000643964.1+ENST00000645278.1"	"chr16:89290183-89292681"	"chr16:89291183-89291681"	"chr16:89291181-89292181"	"ENSG00000167522.17"	237.1573903	2.688201724	50
"19"	"AP2A2"	"MDS_K700E"	"chr11"	984190	984645	2	"clu_20388_+"	2	"chr11:981299-984645"	"<i>AP2A2</i>"	"cryptic"	0.038	"ENSG00000048052.21"	"cryptic_fiveprime"	0.074	"."	"chr11:983190-985645"	"chr11:984190-984645"	"chr11:984145-985145"	"ENSG00000183020.15"	91.42372093	40.25837923	0
"20"	"AP2A2"	"Nalm_K700E"	"chr11"	984190	984645	2	"clu_2408_+"	2	"chr11:981299-984645"	"<i>AP2A2</i>"	"cryptic"	0.00294	"ENSG00000180376.17"	"cryptic_fiveprime"	0.192	"."	"chr11:983190-985645"	"chr11:984190-984645"	"chr11:984145-985145"	"ENSG00000183020.15"	53.64212102	1.10015383	0
"21"	"APPL2"	"MDS_K700E"	"chr12"	105208047	105208158	2	"clu_7846_-"	2	"chr12:105208029-105208158"	"<i>APPL2</i>"	"annotated"	2.28e-05	"ENSG00000119969.14"	"annotated"	0.392	"ENST00000551662.5"	"chr12:105207047-105209158"	"chr12:105208047-105208158"	"chr12:105207658-105208658"	"ENSG00000136044.12"	58.75635625	18.03697211	1
"22"	"APPL2"	"Nalm_K700E"	"chr12"	105208047	105208158	2	"clu_3011_-"	2	"chr12:105208029-105208158"	"<i>APPL2</i>"	"annotated"	0.0382	"ENSG00000088298.13"	"annotated"	0.374	"ENST00000551662.5"	"chr12:105207047-105209158"	"chr12:105208047-105208158"	"chr12:105207658-105208658"	"ENSG00000136044.12"	17.32919169	0.736024968	1
"23"	"ATAD2B"	"MDS_K700E"	"chr2"	23754798	23757418	2	"clu_6395_-"	2	"chr2:23754774-23757418"	"<i>ATAD2B</i>"	"cryptic"	0.00308	"ENSG00000144567.10"	"cryptic_threeprime"	0.189	"."	"chr2:23753798-23758418"	"chr2:23754798-23757418"	"chr2:23756918-23757918"	"ENSG00000119778.15"	84.92233224	7.795286862	0
"24"	"ATAD2B"	"Nalm_K700E"	"chr2"	23754798	23757418	2	"clu_8192_-"	2	"chr2:23754774-23757418"	"<i>ATAD2B</i>"	"cryptic"	0.00258	"ENSG00000119778.15"	"cryptic_threeprime"	0.363	"."	"chr2:23753798-23758418"	"chr2:23754798-23757418"	"chr2:23756918-23757918"	"ENSG00000119778.15"	53.66441764	1.271405049	0
"25"	"BAG6"	"K562_K700E"	"chr6"	31644414	31644525	2	"clu_4705_-"	3	"chr6:31644194-31644525"	"<i>BAG6</i>"	"annotated"	0.00553	"ENSG00000171456.21"	"annotated"	0.111	"ENST00000435080.5+ENST00000437771.5+ENST00000676571.1+ENST00000676615.2"	"chr6:31643414-31645525"	"chr6:31644414-31644525"	"chr6:31644025-31645025"	"ENSG00000204463.14"	161.4415919	4.645399019	18
"26"	"BAG6"	"Nalm_K700E"	"chr6"	31644414	31644525	2	"clu_11403_-"	4	"chr6:31644194-31644525"	"<i>BAG6</i>"	"annotated"	2.15e-05	"ENSG00000204463.14"	"annotated"	0.072	"ENST00000435080.5+ENST00000437771.5+ENST00000676571.1+ENST00000676615.2"	"chr6:31643414-31645525"	"chr6:31644414-31644525"	"chr6:31644025-31645025"	"ENSG00000204463.14"	355.1178077	2.631585253	18
"27"	"BCL2L1"	"BRCA_K700E"	"chr20"	31722348	31722618	4	"clu_11064_-"	7	"chr20:31722330-31723864"	"<i>BCL2L1</i>"	"cryptic"	0.00499	"ENSG00000171552.14"	"annotated"	0.075	"ENST00000307677.5+ENST00000376055.9"	"chr20:31721348-31723618"	"chr20:31722348-31722618"	"chr20:31722118-31723118"	"ENSG00000171552.14"	108.9126044	37.9681553	43
"28"	"BCL2L1"	"K562_K700E"	"chr20"	31722348	31722618	4	"clu_3567_-"	3	"chr20:31722330-31722618"	"<i>BCL2L1</i>"	"annotated"	0.00553	"ENSG00000167110.19"	"annotated"	0.203	"ENST00000307677.5+ENST00000376055.9"	"chr20:31721348-31723618"	"chr20:31722348-31722618"	"chr20:31722118-31723118"	"ENSG00000171552.14"	120.4727126	3.796607907	43
"29"	"BCL2L1"	"MDS_K700E"	"chr20"	31722348	31722618	4	"clu_10275_-"	7	"chr20:31722330-31723864"	"<i>BCL2L1</i>"	"cryptic"	1.51e-06	"ENSG00000050426.15"	"annotated"	0.255	"ENST00000307677.4+ENST00000376055.8"	"chr20:31721348-31723618"	"chr20:31722348-31722618"	"chr20:31722118-31723118"	"ENSG00000171552.14"	76.40601228	13.19916105	43
