"clusterID"	"N"	"coord"	"gene.x"	"annotation"	"FDR"	"gene.y"	"ensemblID"	"chr"	"start"	"end"	"verdict"	"deltapsi"	"transcripts"	"Sample"
"1"	"clu_1972_-"	5	"chr16:153940-176978"	"<i>.</i>"	"annotated"	7.56e-05	"."	"ENSG00000138382.15"	"chr16"	173173	176978	"unknown_strand"	0.993	NA	"K562"
"2"	"clu_3631_+"	2	"chr21:8399372-8443536"	"<i>.</i>"	"annotated"	0.00925	"."	"ENSG00000183426.17"	"chr21"	8399372	8443536	"unknown_strand"	0.984	NA	"K562"
"3"	"clu_3628_+"	2	"chr21:8394316-8438446"	"<i>.</i>"	"annotated"	0.0158	"."	"ENSG00000169714.17"	"chr21"	8437352	8438446	"unknown_strand"	0.905	NA	"K562"
"4"	"clu_5499_-"	2	"chr9:37541774-37588811"	"<i>FBXO10</i>"	"annotated"	0.00378	"FBXO10"	"ENSG00000136770.11"	"chr9"	37541774	37588811	"annotated"	0.873	"ENST00000537239.2"	"K562"
"5"	"clu_1381_-"	2	"chr12:106985215-106986969"	"<i>MTERF2</i>"	"annotated"	0.00229	"MTERF2"	"ENSG00000100023.20"	"chr12"	106985215	106986969	"annotated"	0.768	"ENST00000392830.6"	"K562"
"6"	"clu_5330_-"	2	"chr8:100721619-100721729"	"<i>PABPC1</i>"	"annotated"	0.00844	"PABPC1"	"ENSG00000110536.14"	"chr8"	100721619	100721713	"annotated"	0.76	"ENST00000522387.5"	"K562"
"7"	"clu_2618_+"	2	"chr17:76737091-76738282"	"<i>MFSD11</i>"	"annotated"	0.046	"MFSD11"	"ENSG00000143575.15"	"chr17"	76738165	76738282	"annotated"	0.654	"ENST00000355954.7+ENST00000588031.5+ENST00000588460.6+ENST00000590514.5"	"K562"
"8"	"clu_3470_+"	2	"chr2:232735238-232747615"	"<i>GIGYF2</i>"	"annotated"	0.00758	"GIGYF2"	"ENSG00000124222.22"	"chr2"	232735238	232735763	"annotated"	0.631	"ENST00000464402.5+ENST00000464805.5+ENST00000476995.5+ENST00000482666.5+ENST00000488734.5+ENST00000489328.1+ENST00000490229.5+ENST00000492910.5"	"K562"
"9"	"clu_5321_-"	2	"chr8:98996966-99012869"	"<i>VPS13B-DT</i>"	"cryptic"	0.0101	"VPS13B-DT"	"ENSG00000230021.10"	"chr8"	99004695	99012869	"cryptic_threeprime"	0.628	"."	"K562"
"10"	"clu_2068_-"	3	"chr16:54920327-54923585"	"<i>CRNDE</i>"	"annotated"	0.0155	"CRNDE"	"ENSG00000213625.9"	"chr16"	54920327	54923585	"annotated"	0.591	"ENST00000660344.1+ENST00000661312.1+ENST00000688921.1"	"K562"
"11"	"clu_2282_+"	2	"chr16:89712222-89712689"	"<i>VPS9D1-AS1</i>"	"cryptic"	0.0123	"VPS9D1-AS1"	"ENSG00000221978.13"	"chr16"	89712222	89712674	"cryptic_threeprime"	0.561	"."	"K562"
"12"	"clu_1874_-"	2	"chr15:34487518-34488963"	"<i>.</i>"	"annotated"	0.0108	"."	"ENSG00000149743.14"	"chr15"	34487518	34488963	"unknown_strand"	0.56	NA	"K562"
"13"	"clu_3626_+"	3	"chr21:8393840-8437869"	"<i>.</i>"	"annotated"	0.0144	"."	"ENSG00000176261.16"	"chr21"	8393876	8437858	"unknown_strand"	0.556	NA	"K562"
"14"	"clu_2570_+"	2	"chr17:47223057-47223509"	"<i>MYL4</i>"	"cryptic"	0.00211	"MYL4"	"ENSG00000126453.10"	"chr17"	47223057	47223496	"cryptic_threeprime"	0.549	"."	"K562"
"15"	"clu_4032_-"	2	"chr3:183983007-183987770"	"<i>ABCC5</i>"	"annotated"	0.0103	"ABCC5"	"ENSG00000124588.22"	"chr3"	183985378	183987770	"annotated"	0.546	"ENST00000382494.6"	"K562"
"16"	"clu_5348_-"	2	"chr8:119793451-119795532"	"<i>TAF2</i>"	"annotated"	0.00597	"TAF2"	"ENSG00000093009.11"	"chr8"	119793451	119794780	"annotated"	0.523	"ENST00000692707.1"	"K562"
"17"	"clu_2133_+"	2	"chr16:793274-794054"	"<i>CHTF18</i>"	"cryptic"	0.00604	"CHTF18"	"ENSG00000093009.11"	"chr16"	793274	794034	"cryptic_threeprime"	0.517	"."	"K562"
"18"	"clu_5883_-"	3	"chrX:119618786-119629318"	"<i>SEPTIN6</i>"	"annotated"	0.00764	"SEPTIN6"	"ENSG00000171204.13"	"chrX"	119625396	119629318	"annotated"	0.506	"ENST00000467310.1"	"K562"
"19"	"clu_2645_-"	2	"chr18:683380-685921"	"<i>ENOSF1</i>"	"annotated"	0.00229	"ENOSF1"	"ENSG00000001631.17"	"chr18"	683395	685921	"annotated"	0.504	"ENST00000578647.1"	"K562"
"20"	"clu_5193_+"	3	"chr7:100345968-100349799"	"<i>STAG3L5P-PVRIG2P-PILRB</i>"	"annotated"	0.00152	"STAG3L5P-PVRIG2P-PILRB"	"ENSG00000061273.18"	"chr7"	100345968	100349717	"annotated"	0.483	"ENST00000493499.1"	"K562"
"21"	"clu_1537_+"	3	"chr12:120470104-120496416"	"<i>DYNLL1</i>"	"annotated"	3.99e-06	"DYNLL1"	"ENSG00000088986.11"	"chr12"	120496216	120496402	"annotated"	0.479	"ENST00000392508.2+ENST00000550845.5"	"K562"
"22"	"clu_4250_+"	2	"chr4:94523875-94573351"	"<i>PDLIM5</i>"	"annotated"	0.0335	"PDLIM5"	"ENSG00000005007.13"	"chr4"	94523875	94549794	"annotated"	0.479	"ENST00000511767.3"	"K562"
"23"	"clu_3681_-"	3	"chr21:8400729-8444965"	"<i>.</i>"	"annotated"	0.00293	"."	"ENSG00000173848.19"	"chr21"	8400784	8444965	"unknown_strand"	0.475	NA	"K562"
"24"	"clu_2662_-"	2	"chr18:35993300-36026900"	"<i>RPRD1A</i>"	"annotated"	0.00199	"RPRD1A"	"ENSG00000185651.15"	"chr18"	36025678	36026900	"annotated"	0.464	"ENST00000589050.1"	"K562"
"25"	"clu_1739_+"	2	"chr14:74889349-74889897"	"<i>DLST</i>"	"annotated"	0.00782	"DLST"	"ENSG00000169246.16"	"chr14"	74889349	74889878	"annotated"	0.46	"ENST00000555988.1"	"K562"
"26"	"clu_1683_-"	2	"chr14:81427212-81436321"	"<i>STON2</i>"	"annotated"	0.0124	"STON2"	"ENSG00000221978.13"	"chr14"	81427212	81427301	"annotated"	0.449	"ENST00000555447.5"	"K562"
"27"	"clu_1045_+"	2	"chr11:65504595-65504943"	"<i>MALAT1</i>"	"cryptic"	0.00594	"MALAT1"	"ENSG00000060237.19"	"chr11"	65504595	65504943	"cryptic_threeprime"	0.448	"."	"K562"
"28"	"clu_3334_+"	2	"chr2:87606769-87700984"	"<i>CYTOR</i>"	"annotated"	0.0118	"CYTOR"	"ENSG00000104341.17"	"chr2"	87606769	87636282	"annotated"	0.446	"ENST00000646578.1+ENST00000646636.1"	"K562"
"29"	"clu_3626_+"	3	"chr21:8393840-8437869"	"<i>.</i>"	"annotated"	0.0144	"."	"ENSG00000176261.16"	"chr21"	8393876	8437869	"unknown_strand"	0.444	NA	"K562"
"30"	"clu_4104_+"	3	"chr3:39406764-39407621"	"<i>RPSA</i>"	"annotated"	0.000971	"RPSA"	"ENSG00000183889.12"	"chr3"	39406764	39407603	"annotated"	0.442	"ENST00000458478.5"	"K562"
"31"	"clu_5105_-"	2	"chr7:151082593-151083434"	"<i>TMUB1</i>"	"annotated"	0.00756	"TMUB1"	"ENSG00000124222.22"	"chr7"	151082593	151083434	"annotated"	0.442	"ENST00000297533.9"	"K562"
"32"	"clu_670_+"	2	"chr1:161167234-161167371"	"<i>PPOX</i>"	"annotated"	0.00965	"PPOX"	"ENSG00000173915.16"	"chr1"	161167234	161167339	"annotated"	0.442	"ENST00000495483.5"	"K562"
"33"	"clu_4375_-"	3	"chr5:865581-870473"	"<i>BRD9</i>"	"annotated"	4.64e-05	"BRD9"	"ENSG00000028310.18"	"chr5"	869404	870473	"annotated"	0.435	"ENST00000490814.6+ENST00000518250.5+ENST00000519112.5"	"K562"
"34"	"clu_2042_-"	9	"chr16:22534214-22535958"	"<i>.</i>"	"annotated"	0.0105	"."	"ENSG00000112972.15"	"chr16"	22534214	22534707	"unknown_strand"	0.428	NA	"K562"
"35"	"clu_5814_-"	3	"chrX:11196996-11427548"	"<i>ARHGAP6</i>"	"cryptic"	0.000142	"ARHGAP6"	"ENSG00000170421.13"	"chrX"	11196996	11427548	"novel annotated pair"	0.423	"ENST00000380736.5"	"K562"
"36"	"clu_3196_-"	2	"chr2:106164784-106166056"	"<i>UXS1</i>"	"annotated"	0.0258	"UXS1"	"ENSG00000132153.15"	"chr2"	106164799	106166056	"annotated"	0.421	"ENST00000283148.12"	"K562"
"37"	"clu_5549_-"	2	"chr9:122261498-122264715"	"<i>RBM18</i>"	"cryptic"	0.00362	"RBM18"	"ENSG00000254772.10"	"chr9"	122261498	122264715	"cryptic_threeprime"	0.416	"."	"K562"
"38"	"clu_4179_+"	3	"chr3:184180251-184180849"	"<i>AP2M1</i>"	"annotated"	1.77e-06	"AP2M1"	"ENSG00000161203.14"	"chr3"	184180251	184180645	"annotated"	0.406	"ENST00000292807.9+ENST00000411763.6+ENST00000427072.6+ENST00000431779.6+ENST00000432591.6+ENST00000442686.2+ENST00000472560.6+ENST00000484469.6+ENST00000490151.6+ENST00000686364.1"	"K562"
"39"	"clu_1076_+"	2	"chr11:72228498-72228727"	"<i>INPPL1</i>"	"cryptic"	0.0122	"INPPL1"	"ENSG00000117360.13"	"chr11"	72228498	72228647	"cryptic_threeprime"	0.404	"."	"K562"
"40"	"clu_3189_-"	2	"chr2:96921654-96923490"	"<i>FAM178B</i>"	"cryptic"	0.021	"FAM178B"	"ENSG00000033627.17"	"chr2"	96921654	96921954	"cryptic_fiveprime"	0.404	"."	"K562"
"41"	"clu_4117_+"	3	"chr3:45673505-45674343"	"<i>LIMD1</i>"	"cryptic"	0.000142	"LIMD1"	"ENSG00000164587.13"	"chr3"	45673505	45674102	"cryptic_threeprime"	0.404	"."	"K562"
"42"	"clu_3180_-"	2	"chr2:87798029-87800605"	"<i>RGPD2</i>"	"cryptic"	0.0279	"RGPD2"	"ENSG00000130706.13"	"chr2"	87798029	87800605	"cryptic_threeprime"	0.399	"."	"K562"
"43"	"clu_2742_-"	2	"chr19:5595497-5598793"	"<i>SAFB2</i>"	"cryptic"	0.0105	"SAFB2"	"ENSG00000122566.22"	"chr19"	5595510	5598793	"cryptic_threeprime"	0.396	"."	"K562"
"44"	"clu_3601_-"	2	"chr20:50594714-50595369"	"<i>RIPOR3</i>"	"cryptic"	0.0181	"RIPOR3"	"ENSG00000093183.14"	"chr20"	50594714	50595369	"annotated"	0.383	"ENST00000045083.6+ENST00000327979.8"	"K562"
"45"	"clu_706_+"	2	"chr1:196725297-196726470"	"<i>CFH</i>"	"cryptic"	0.00378	"CFH"	"ENSG00000138668.19"	"chr1"	196725297	196726456	"cryptic_threeprime"	0.381	"."	"K562"
"46"	"clu_4494_-"	2	"chr5:178257567-178259721"	"<i>COL23A1</i>"	"cryptic"	0.00406	"COL23A1"	"ENSG00000176978.14"	"chr5"	178257582	178259721	"cryptic_threeprime"	0.366	"."	"K562"
"47"	"clu_5140_+"	2	"chr7:39781885-39782735"	"<i>LINC00265</i>"	"annotated"	0.0219	"LINC00265"	"ENSG00000126088.14"	"chr7"	39781896	39782735	"annotated"	0.365	"ENST00000448955.1"	"K562"
"48"	"clu_3276_+"	2	"chr2:10141954-10198592"	"<i>RRM2</i>"	"cryptic"	0.0425	"RRM2"	"ENSG00000166669.14"	"chr2"	10141954	10142255	"annotated"	0.363	"ENST00000381786.7+ENST00000641498.1+ENST00000646978.1"	"K562"
"49"	"clu_4857_+"	2	"chr6:30557450-30561834"	"<i>PRR3</i>"	"annotated"	0.0248	"PRR3"	"ENSG00000124635.9"	"chr6"	30557450	30558150	"annotated"	0.359	"ENST00000376560.8+ENST00000491173.1+ENST00000498336.5"	"K562"
"50"	"clu_3219_-"	2	"chr2:169531490-169537227"	"<i>FASTKD1</i>"	"cryptic"	0.0196	"FASTKD1"	"ENSG00000149925.22"	"chr2"	169531508	169537227	"cryptic_threeprime"	0.358	"."	"K562"
